region,geo
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
6,35
6,36
6,37
6,38
6,39
7,40
7,41
7,42
7,43
7,44
7,45
7,46
7,47
7,48
7,49
7,50
7,51
7,52
7,53
7,54
7,55
7,56
7,57
7,58
7,59
7,60
7,61
7,62
7,63
7,64
7,65
7,66
7,67
7,68
7,69
7,70
7,71
7,72
7,73
7,74
7,75
7,76
7,77
7,78
7,79
7,80
7,81
7,82
7,83
7,84
7,85
7,86
7,87
7,88
7,89
7,90
7,91
7,92
7,93
8,94
8,95
8,96
8,97
8,98
8,99
8,100
8,101
8,102
8,103
8,104
8,105
8,106
8,107
8,108
8,109
8,110
8,111
8,112
8,113
9,114
9,115
9,116
9,117
9,118
9,119
9,120
9,121
9,122
9,123
9,124
9,125
9,126
9,127
9,128
9,129
9,130
9,131
9,132
9,133
9,134
9,135
9,136
9,137
9,138
9,139
9,140
9,141
9,142
9,143
9,144
9,145
9,146
9,147
9,148
9,149
9,150
9,151
9,152
9,153
9,154
9,155
9,156
9,157
9,158
9,159
9,160
9,161
9,162
9,163
9,164
9,165
9,166
9,167
9,168
9,169
9,170
9,171
9,172
9,173
9,174
9,175
9,176
9,177
9,178
9,179
9,180
9,181
9,182
9,183
9,184
9,185
9,186
9,187
9,188
9,189
9,190
9,191
9,192
9,193
9,194
9,195
9,196
9,197
9,198
9,199
9,200
9,201
9,202
9,203
9,204
9,205
9,206
9,207
9,208
9,209
9,210
9,211
9,212
9,213
9,214
9,215
9,216
9,217
9,218
9,219
9,220
9,221
9,222
9,223
9,224
9,225
9,226
9,227
9,228
9,229
9,230
9,231
9,232
9,233
9,234
9,235
9,236
9,237
9,238
9,239
9,240
9,241
9,242
9,243
9,244
9,245
9,246
9,247
9,248
9,249
9,250
9,251
9,252
9,253
9,254
9,255
9,256
9,257
9,258
9,259
9,260
9,261
9,262
9,263
9,264
9,265
9,266
9,267
9,268
9,269
9,270
9,271
9,272
9,273
9,274
9,275
9,276
9,277
9,278
9,279
9,280
9,281
9,282
9,283
9,284
9,285
9,286
9,287
9,288
9,289
9,290
9,291
9,292
9,293
9,294
9,295
9,296
9,297
9,298
9,299
9,300
9,301
9,302
9,303
9,304
9,305
9,306
9,307
9,308
9,309
9,310
9,311
9,312
9,313
9,314
9,315
9,316
9,317
9,318
9,319
9,320
9,321
9,322
9,323
9,324
9,325
9,326
9,327
9,328
9,329
9,330
9,331
9,332
9,333
9,334
9,335
9,336
9,337
9,338
9,339
9,340
9,341
9,342
9,343
9,344
9,345
9,346
9,347
9,348
9,349
9,350
9,351
9,352
9,353
9,354
9,355
9,356
9,357
9,358
9,359
9,360
9,361
9,362
9,363
9,364
9,365
9,366
9,367
9,368
9,369
9,370
9,371
9,372
9,373
9,374
9,375
9,376
9,377
9,378
8,379
8,380
8,381
8,382
8,383
8,384
8,385
8,386
8,387
8,388
8,389
8,390
8,391
8,392
8,393
8,394
8,395
8,396
8,397
8,398
8,399
8,400
8,401
8,402
8,403
8,404
8,405
8,406
8,407
8,408
8,409
8,410
8,411
8,412
8,413
8,414
8,415
8,416
8,417
8,418
8,419
8,420
1,421
1,422
1,423
1,424
1,425
1,426
1,427
1,428
1,429
1,430
1,431
1,432
1,433
1,434
1,435
1,436
1,437
1,438
1,439
1,440
1,441
1,442
1,443
1,444
1,445
1,446
5,447
5,448
5,449
5,450
5,451
5,452
5,453
5,454
5,455
5,456
5,457
5,458
5,459
5,460
5,461
5,462
5,463
5,464
5,465
5,466
5,467
5,468
5,469
5,470
5,471
5,472
5,473
5,474
5,475
5,476
5,477
5,478
5,479
5,480
5,481
5,482
5,483
5,484
5,485
5,486
5,487
5,488
5,489
5,490
5,491
5,492
5,493
5,494
5,495
5,496
5,497
5,498
5,499
5,500
5,501
5,502
5,503
5,504
5,505
5,506
5,507
5,508
5,509
5,510
5,511
5,512
5,513
5,514
5,515
5,516
5,517
5,518
5,519
5,520
5,521
5,522
5,523
5,524
5,525
5,526
5,527
5,528
5,529
5,530
5,531
5,532
5,533
5,534
5,535
5,536
5,537
5,538
5,539
5,540
5,541
5,542
5,543
5,544
5,545
5,546
5,547
5,548
5,549
5,550
5,551
5,552
5,553
5,554
5,555
5,556
5,557
5,558
5,559
5,560
5,561
5,562
5,563
5,564
5,565
5,566
5,567
5,568
5,569
5,570
5,571
5,572
5,573
5,574
5,575
5,576
5,577
5,578
5,579
5,580
5,581
5,582
5,583
5,584
5,585
5,586
5,587
5,588
5,589
5,590
5,591
5,592
5,593
5,594
5,595
5,596
5,597
5,598
5,599
5,600
5,601
5,602
5,603
5,604
5,605
5,606
5,607
5,608
5,609
5,610
5,611
5,612
5,613
5,614
5,615
5,616
5,617
5,618
5,619
5,620
5,621
5,622
5,623
5,624
5,625
5,626
5,627
5,628
5,629
5,630
5,631
5,632
5,633
5,634
5,635
5,636
5,637
5,638
5,639
5,640
5,641
5,642
5,643
5,644
5,645
5,646
5,647
5,648
5,649
5,650
5,651
5,652
5,653
5,654
5,655
5,656
5,657
5,658
5,659
5,660
5,661
5,662
5,663
5,664
5,665
5,666
5,667
5,668
5,669
5,670
5,671
5,672
5,673
5,674
5,675
5,676
5,677
5,678
5,679
5,680
9,681
9,682
9,683
9,684
9,685
9,686
9,687
9,688
9,689
9,690
4,691
4,692
4,693
4,694
4,695
4,696
4,697
4,698
4,699
4,700
4,701
4,702
4,703
4,704
8,705
8,706
8,707
8,708
8,709
8,710
8,711
8,712
8,713
8,714
8,715
8,716
8,717
8,718
8,719
8,720
8,721
8,722
8,723
8,724
8,725
8,726
8,727
8,728
8,729
8,730
8,731
8,732
8,733
8,734
8,735
8,736
8,737
8,738
8,739
8,740
8,741
8,742
8,743
8,744
8,745
8,746
8,747
8,748
8,749
8,750
8,751
8,752
8,753
8,754
8,755
8,756
8,757
8,758
8,759
8,760
8,761
8,762
8,763
8,764
8,765
8,766
8,767
8,768
8,769
8,770
8,771
8,772
8,773
8,774
8,775
8,776
8,777
8,778
8,779
8,780
8,781
8,782
8,783
8,784
8,785
8,786
8,787
8,788
8,789
8,790
8,791
8,792
3,793
3,794
3,795
3,796
3,797
3,798
3,799
3,800
3,801
3,802
3,803
3,804
3,805
3,806
3,807
3,808
3,809
3,810
3,811
3,812
3,813
3,814
3,815
3,816
3,817
3,818
3,819
3,820
3,821
3,822
3,823
3,824
3,825
3,826
3,827
3,828
3,829
3,830
3,831
3,832
3,833
3,834
3,835
3,836
3,837
3,838
3,839
3,840
3,841
3,842
3,843
3,844
3,845
3,846
3,847
3,848
3,849
3,850
3,851
3,852
3,853
3,854
3,855
3,856
3,857
3,858
3,859
3,860
3,861
3,862
3,863
3,864
4,865
4,866
4,867
4,868
4,869
4,870
4,871
4,872
4,873
4,874
4,875
4,876
4,877
4,878
4,879
4,880
4,881
4,882
4,883
4,884
4,885
4,886
6,887
6,888
6,889
6,890
6,891
6,892
6,893
6,894
6,895
6,896
6,897
6,898
6,899
6,900
6,901
6,902
6,903
6,904
6,905
6,906
6,907
6,908
6,909
6,910
6,911
6,912
6,913
6,914
6,915
6,916
6,917
6,918
6,919
6,920
7,921
7,922
7,923
7,924
7,925
7,926
7,927
7,928
7,929
7,930
7,931
7,932
7,933
7,934
7,935
7,936
7,937
7,938
7,939
7,940
7,941
7,942
7,943
7,944
7,945
7,946
7,947
7,948
7,949
7,950
7,951
7,952
7,953
7,954
1,955
1,956
1,957
1,958
1,959
1,960
1,961
1,962
1,963
1,964
5,965
5,966
5,967
5,968
5,969
5,970
5,971
5,972
5,973
5,974
5,975
5,976
5,977
5,978
5,979
5,980
5,981
5,982
5,983
5,984
5,985
5,986
5,987
5,988
5,989
5,990
5,991
5,992
5,993
5,994
5,995
5,996
5,997
5,998
5,999
5,1000
5,1001
5,1002
5,1003
5,1004
5,1005
5,1006
5,1007
5,1008
1,1009
1,1010
1,1011
1,1012
1,1013
1,1014
1,1015
1,1016
1,1017
1,1018
1,1019
1,1020
1,1021
1,1022
1,1023
1,1024
1,1025
1,1026
1,1027
1,1028
1,1029
1,1030
1,1031
